soc,readiness,distance,title,employment,wage,wage_gain,wage_gain_pct
25-4022,44.993321486585046,1.4274992519585432,Librarians and Media Collections Specialists,133790,68270.0,-5080.0,-7.441042917826278
25-4031,39.36192641880005,1.5736417289086033,Library Technicians,68690,44580.0,18610.0,41.74517720951099
25-9021,55.40629161384074,1.157268300571449,Farm and Home Management Educators,8220,60220.0,2970.0,4.931916306874792
25-9031,45.468855668667885,1.4151584833909878,Instructional Coordinators,227760,77440.0,-14250.0,-18.40134297520661
25-9044,40.355830492214906,1.5478485459776936,"Teaching Assistants, Postsecondary",164090,42910.0,20280.0,47.26171055697972
27-1011,48.18600246517353,1.3446447726144426,Art Directors,53070,114850.0,-51660.0,-44.98040922942969
27-1012,49.22875956445544,1.3175837862137392,Craft Artists,4580,46080.0,17110.0,37.131076388888886
27-1013,41.02876063759137,1.530385079629494,"Fine Artists, Including Painters, Sculptors, and Illustrators",11220,55490.0,7700.0,13.876374121463327
27-1014,47.276514594938234,1.3682472385242797,Special Effects Artists and Animators,19970,102030.0,-38840.0,-38.06723512692346
27-1021,55.76062153370358,1.1480729499482083,Commercial and Industrial Designers,33490,83910.0,-20720.0,-24.69312358479323
27-1022,55.12306031140515,1.1646185439107093,Fashion Designers,21450,80960.0,-17770.0,-21.949110671936758
27-1023,36.44611048433718,1.649311178106112,Floral Designers,40590,37360.0,25830.0,69.13811563169165
27-1024,48.75202896514455,1.3299556034601863,Graphic Designers,197830,62960.0,230.0,0.3653113087674714
27-1025,52.32711482292132,1.2371771895368788,Interior Designers,71500,67190.0,-4000.0,-5.953266855186784
27-1026,48.74243577798983,1.330204559911609,Merchandise Displayers and Window Trimmers,165220,39390.0,23800.0,60.42142675806042
27-1027,63.36618431478143,0.9506980952191668,Set and Exhibit Designers,10630,75240.0,-12050.0,-16.015417331206805
27-2011,30.247478022901607,1.8101742485732235,Actors,55000,60424.0,2766.0,4.577651264398252
27-2012,54.48268423318936,1.1812371872705738,Producers and Directors,143120,90360.0,-27170.0,-30.06861443116423
27-2021,58.602932877724086,1.07431104635621,Athletes and Sports Competitors,15070,66710.0,-3520.0,-5.276570229350922
27-2022,55.956795927413104,1.1429819535848216,Coaches and Scouts,248950,47320.0,15870.0,33.53761622992392
27-2023,41.040908880273086,1.5300698159595283,"Umpires, Referees, and Other Sports Officials",15780,40710.0,22480.0,55.219847703267014
27-2031,26.877022784184323,1.8976422154102923,Dancers,8130,51584.0,11606.0,22.499224565756823
27-2032,45.981993106829,1.4018418584115635,Choreographers,2860,55310.0,7880.0,14.24697161453625
27-2041,47.32050104187374,1.3671057294967635,Music Directors and Composers,12540,73710.0,-10520.0,-14.272147605480939
27-2042,43.667977365201594,1.4618937617343175,Musicians and Singers,36180,99424.0,-36234.0,-36.44391696169939
27-3011,39.10202006213797,1.580386657701639,Broadcast Announcers and Radio Disc Jockeys,21240,47340.0,15850.0,33.48119983100972
27-3023,41.54473839231648,1.516994744513773,"News Analysts, Reporters, and Journalists",39250,62200.0,990.0,1.5916398713826367
27-3031,36.694174758159626,1.6428735677124429,Public Relations Specialists,283380,74750.0,-11560.0,-15.464882943143813
27-3041,45.51905438698497,1.4138557573441963,Editors,91690,77920.0,-14730.0,-18.90400410677618
27-3042,37.4666720376506,1.6228261967673958,Technical Writers,45500,90390.0,-27200.0,-30.09182431684921
27-3043,30.545804080195783,1.8024322755049296,Writers and Authors,47940,76910.0,-13720.0,-17.839032635548044
27-3091,40.04889117343162,1.5558140450734614,Interpreters and Translators,52060,60170.0,3020.0,5.0191125145421305
27-3092,22.419125130645234,2.013330814280752,Court Reporters and Simultaneous Captioners,12870,72420.0,-9230.0,-12.745098039215685
27-4011,72.84327615841616,0.7047544774049831,Audio and Video Technicians,70230,58100.0,5090.0,8.760757314974182
27-4012,73.2638504843418,0.6938399929845976,Broadcast Technicians,21110,59570.0,3620.0,6.076884337753903
27-4014,63.426354082296974,0.9491366066792246,Sound Engineering Technicians,13080,73130.0,-9940.0,-13.592233009708737
27-4021,65.212928754329,0.9027725273198098,Photographers,51760,44660.0,18530.0,41.49126735333632
27-4031,61.63239577605522,0.9956923015405387,"Camera Operators, Television, Video, and Film",21550,74990.0,-11800.0,-15.735431390852114
27-4032,53.01231746271058,1.219395235014745,Film and Video Editors,25610,75420.0,-12230.0,-16.215857862635907
29-1011,55.79279886400506,1.1472379038015086,Chiropractors,39630,79200.0,-16010.0,-20.214646464646464
29-1021,67.62847323095646,0.8400858131489597,"Dentists, General",124390,170950.0,-107760.0,-63.035975431412695
29-1022,68.09134643202117,0.8280736145191079,Oral and Maxillofacial Surgeons,4910,352220.0,-289030.0,-82.05950826188177
29-1023,58.49317503914322,1.0771594138036746,Orthodontists,6210,289140.0,-225950.0,-78.14553503493117
29-1024,68.02969437273029,0.8296735705771343,Prosthodontists,870,311180.0,-247990.0,-79.69342502731539
29-1031,44.91137738942569,1.4296258144152978,Dietitians and Nutritionists,77570,76400.0,-13210.0,-17.290575916230367
29-1041,58.686433244603585,1.072144096551566,Optometrists,42790,136570.0,-73380.0,-53.7306875594933
29-1051,53.36435907181733,1.2102592692149627,Pharmacists,321970,140910.0,-77720.0,-55.155773188560076
29-1071,64.1032766542424,0.9315695313494484,Physician Assistants,162150,135880.0,-72690.0,-53.49573152781866
29-1081,61.08396171710157,1.0099249225615292,Podiatrists,9680,160300.0,-97110.0,-60.58016219588272
29-1122,55.315328554543164,1.159628917547649,Occupational Therapists,162450,100330.0,-37140.0,-37.017841124289845
29-1123,60.36902120601986,1.028478615901059,Physical Therapists,267330,102760.0,-39570.0,-38.50720124562086
29-1124,68.94370327145892,0.8059537777359729,Radiation Therapists,17070,105310.0,-42120.0,-39.99620169024784
29-1125,55.07385617705053,1.1658954591305102,Recreational Therapists,14930,61960.0,1230.0,1.9851517107811492
29-1126,65.47206607523633,0.8960475560663731,Respiratory Therapists,139790,82280.0,-19090.0,-23.201263976665047
29-1127,43.07633552209299,1.4772476844086149,Speech-Language Pathologists,183390,97870.0,-34680.0,-35.43476039644426
29-1128,58.88186491927493,1.0670723747726496,Exercise Physiologists,8560,59460.0,3730.0,6.273124789774639
29-1129,51.580927672315724,1.2565417763124793,"Therapists, All Other",22640,77930.0,-14740.0,-18.914410368279224
29-1131,58.59829172266018,1.0744314907378925,Veterinarians,83900,130100.0,-66910.0,-51.42966948501153
29-1141,59.46299393319241,1.0519912745303162,Registered Nurses,3379720,97550.0,-34360.0,-35.222962583290624
29-1151,70.07225817189457,0.7766662199392744,Nurse Anesthetists,51840,236590.0,-173400.0,-73.29134790143286
29-1161,57.46278147801065,1.1038995493197818,Nurse Midwives,7920,134040.0,-70850.0,-52.857356013130406
29-1171,59.155407718715566,1.0599735614624635,Nurse Practitioners,323040,132300.0,-69110.0,-52.237339380196524
29-1181,62.611701841010145,0.9702779570837885,Audiologists,13660,95780.0,-32590.0,-34.0258926707037
29-1211,62.62061967301988,0.9700465270308017,Anesthesiologists,38760,391490.0,-328300.0,-83.85910240363738
29-1213,53.19162983067811,1.2147418314997855,Dermatologists,11370,328730.0,-265540.0,-80.77753779697625
29-1214,59.56813421131546,1.0492627391519302,Emergency Medicine Physicians,32880,335550.0,-272360.0,-81.16823126210699
29-1215,40.794451072724726,1.53646573633543,Family Medicine Physicians,107510,244180.0,-180990.0,-74.12154967646818
29-1216,55.96007223061752,1.1428969289932651,General Internal Medicine Physicians,67150,256560.0,-193370.0,-75.3702837542875
29-1217,52.57321231989371,1.2307906197178835,Neurologists,10590,248560.0,-185370.0,-74.57756678467976
29-1218,57.982850821728725,1.0904030318206734,Obstetricians and Gynecologists,21260,292910.0,-229720.0,-78.42682052507597
29-1221,48.25845135084519,1.3427646240052822,"Pediatricians, General",39390,210040.0,-146850.0,-69.91525423728814
29-1222,57.54415311790757,1.1017878429193457,"Physicians, Pathologists",11110,312400.0,-249210.0,-79.77272727272727
29-1223,39.72288375356226,1.564274387718636,Psychiatrists,27980,281870.0,-218680.0,-77.58186397984886
29-1224,61.874447845280514,0.9894107161568682,Radiologists,26770,420860.0,-357670.0,-84.98550586893504
29-1229,58.238554043283706,1.0837671801866924,"Physicians, All Other",342720,265930.0,-202740.0,-76.23810777272215
29-1241,64.26336499968167,0.9274150177605921,"Ophthalmologists, Except Pediatric",8950,300080.0,-236890.0,-78.94228205811784
29-1291,47.617435455958315,1.3593998714911195,Acupuncturists,7830,76040.0,-12850.0,-16.899000526038925
29-1292,56.41752935417321,1.1310252850524372,Dental Hygienists,222740,98100.0,-34910.0,-35.586136595310904
29-1299,50.037327664674244,1.2966003276699116,"Healthcare Diagnosing or Treating Practitioners, All Other",28630,115210.0,-52020.0,-45.152330526863985
29-2031,60.39259559134496,1.0278668280540841,Cardiovascular Technologists and Technicians,62960,74310.0,-11120.0,-14.964338581617548
29-2032,62.244818932417935,0.9797990750957413,Diagnostic Medical Sonographers,90160,96590.0,-33400.0,-34.579148980225696
29-2033,64.27847413575373,0.9270229148192131,Nuclear Medicine Technologists,17080,101370.0,-38180.0,-37.66400315675249
29-2034,59.25062547035942,1.0575025293456701,Radiologic Technologists and Technicians,230490,80110.0,-16920.0,-21.120958681812507
29-2035,64.65106826604627,0.917353582718984,Magnetic Resonance Imaging Technologists,43390,95480.0,-32290.0,-33.81860075408463
29-2036,54.82866874783687,1.1722584114346883,Medical Dosimetrists,3410,147470.0,-84280.0,-57.15060690309893
29-2051,57.79711355700762,1.095223170276871,Dietetic Technicians,31560,37640.0,25550.0,67.87991498405951
29-2052,52.32492097953434,1.2372341228016834,Pharmacy Technicians,471680,45750.0,17440.0,38.12021857923497
29-2053,45.644086540579586,1.4106110003337624,Psychiatric Technicians,156960,45130.0,18060.0,40.01772656769333
29-2055,66.1824763043494,0.8776114297986276,Surgical Technologists,117460,64650.0,-1460.0,-2.2583139984532097
29-2056,66.72542872510701,0.8635210648570043,Veterinary Technologists and Technicians,129140,47380.0,15810.0,33.36850991979738
29-2057,52.352127496862224,1.2365280761145623,Ophthalmic Medical Technicians,71010,45570.0,17620.0,38.665788896203644
29-2061,58.854115195518105,1.0677925184165757,Licensed Practical and Licensed Vocational Nurses,648410,64400.0,-1210.0,-1.8788819875776397
29-2081,60.22537603053103,1.0322064065275691,"Opticians, Dispensing",73530,47260.0,15930.0,33.70715192551841
29-2091,70.60471288730717,0.7628482849449278,Orthotists and Prosthetists,9390,81110.0,-17920.0,-22.09345333497719
29-2092,57.628213096506656,1.0996063704179553,Hearing Aid Specialists,11270,65160.0,-1970.0,-3.023327194597913
29-2099,56.44251467149887,1.1303768815720556,"Health Technologists and Technicians, All Other",182610,50290.0,12900.0,25.651222907138596
29-9091,59.81753936302674,1.0427903311257734,Athletic Trainers,30500,62520.0,670.0,1.071657069737684
29-9092,35.49741939611116,1.6739310216484211,Genetic Counselors,3740,100040.0,-36850.0,-36.83526589364254
29-9093,66.72166001255829,0.8636188681508868,Surgical Assistants,22270,66800.0,-3610.0,-5.404191616766467
29-9099,56.75009989188564,1.122394620437918,"Healthcare Practitioners and Technical Workers, All Other",35010,65790.0,-2600.0,-3.951968384252926
31-1131,46.072038153281284,1.3995050651361458,Nursing Assistants,1448910,42260.0,20930.0,49.52673923331756
31-1132,29.378798965294216,1.8327176694530025,Orderlies,52440,38290.0,24900.0,65.03003395142335
31-1133,50.773396898430725,1.277498314805768,Psychiatric Aides,35520,44910.0,18280.0,40.70362948118459
31-2011,54.66677642490967,1.176459740730004,Occupational Therapy Assistants,51290,72300.0,-9110.0,-12.60027662517289
31-2012,52.79557824241532,1.2250199170206966,Occupational Therapy Aides,4310,39160.0,24030.0,61.36363636363637
31-2021,60.61264079280605,1.0221563512725027,Physical Therapist Assistants,112430,68380.0,-5190.0,-7.589938578531735
31-2022,48.16835254538838,1.345102812401089,Physical Therapist Aides,48150,35240.0,27950.0,79.31328036322361
31-9011,37.17172733301598,1.6304804190657367,Massage Therapists,98790,58450.0,4740.0,8.109495295124038
31-9091,58.80873232949313,1.0689702664474185,Dental Assistants,387790,48070.0,15120.0,31.454129394632826
31-9092,58.86517669260433,1.0675054572952198,Medical Assistants,817870,45690.0,17500.0,38.30159772379076
31-9093,63.552583925820294,0.94586076796156,Medical Equipment Preparers,77420,47700.0,15490.0,32.473794549266245
31-9094,25.345601292504327,1.9373847174643526,Medical Transcriptionists,41550,40410.0,22780.0,56.37218510269735
31-9095,47.19851917122422,1.370271327453423,Pharmacy Aides,39530,37680.0,25510.0,67.70169851380042
31-9096,55.477048524847795,1.1554320610408466,Veterinary Assistants and Laboratory Animal Caretakers,126580,38150.0,25040.0,65.63564875491481
31-9097,59.59307405040717,1.0486155158945087,Phlebotomists,143540,45230.0,17960.0,39.70815830201194
31-9099,53.871482388235556,1.197098718998116,"Healthcare Support Workers, All Other",109740,48430.0,14760.0,30.476977080322115
33-1011,58.270719600005464,1.0829324395806414,First-Line Supervisors of Correctional Officers,53380,77970.0,-14780.0,-18.956008721303064
33-1012,64.40281734427361,0.923796036884655,First-Line Supervisors of Police and Detectives,154610,106040.0,-42850.0,-40.409279517163334
33-1021,75.76693401250081,0.6288815195664048,First-Line Supervisors of Firefighting and Prevention Workers,99140,93530.0,-30340.0,-32.43878969314658
33-1091,59.82860546151261,1.0425031505917437,First-Line Supervisors of Security Workers,81480,55940.0,7250.0,12.960314622810154
33-2011,78.22291285579333,0.5651454777552083,Firefighters,345990,59280.0,3910.0,6.595816464237517
33-2021,64.76022996550319,0.9145206859048403,Fire Inspectors and Investigators,13800,75920.0,-12730.0,-16.767650158061116
33-2022,69.40473772811539,0.7939892970621629,Forest Fire Inspectors and Prevention Specialists,2780,56870.0,6320.0,11.11306488482504
33-3011,41.18354454620755,1.5263682234997253,Bailiffs,17310,56600.0,6590.0,11.643109540636042
33-3012,63.52209673596316,0.94665195263025,Correctional Officers and Jailers,380500,58940.0,4250.0,7.2107227689175435
33-3021,55.0710441297256,1.165968435641023,Detectives and Criminal Investigators,114430,93790.0,-30600.0,-32.62607953939652
33-3031,67.66494702309285,0.8391392678857679,Fish and Game Wardens,5770,74060.0,-10870.0,-14.677288684850122
33-3041,53.914408950227255,1.195984715448213,Parking Enforcement Workers,9050,46730.0,16460.0,35.22362508024823
33-3051,60.86677601841506,1.0155611912981608,Police and Sheriff's Patrol Officers,670520,76210.0,-13020.0,-17.08437212964178
33-3052,57.8021461959743,1.0950925663474123,Transit and Railroad Police,4390,90230.0,-27040.0,-29.96785991355425
33-9011,51.423383186609286,1.2606302732291088,Animal Control Workers,12070,45660.0,17530.0,38.39246605343846
33-9021,48.7816480334062,1.329186947745464,Private Detectives and Investigators,35580,51220.0,11970.0,23.369777430691137
33-9031,49.754284625631854,1.303945685314194,Gambling Surveillance Officers and Gambling Investigators,9520,43370.0,19820.0,45.699792483283375
33-9032,51.305028749055296,1.2637017342887524,Security Guards,1283470,38020.0,25170.0,66.20199894792215
33-9091,20.910597143947683,2.0524791982727812,Crossing Guards and Flaggers,94360,38100.0,25090.0,65.85301837270342
33-9092,46.69494767592639,1.3833397030084018,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",157550,33580.0,29610.0,88.17748659916617
33-9093,55.45197343618992,1.1560827942112413,Transportation Security Screeners,50290,66770.0,-3580.0,-5.3616893814587385
33-9099,55.37024370624019,1.1582037935429417,"Protective Service Workers, All Other",81500,42540.0,20650.0,48.542548189938884
35-1011,67.8222306009133,0.8350575418889998,Chefs and Head Cooks,200040,62470.0,720.0,1.1525532255482631
35-1012,60.903713986896925,1.0146026000179424,First-Line Supervisors of Food Preparation and Serving Workers,1223240,44080.0,19110.0,43.3529945553539
35-2011,26.26619172152894,1.9134941248252726,"Cooks, Fast Food",641070,30890.0,32300.0,104.56458400776951
35-2012,47.58873768210774,1.3601446183438963,"Cooks, Institution and Cafeteria",441050,37450.0,25740.0,68.73164218958611
35-2013,45.80069830164382,1.406546708909357,"Cooks, Private Household",1100,47940.0,15250.0,31.810596579057155
35-2014,29.401820182885007,1.8321202370724596,"Cooks, Restaurant",1409890,37390.0,25800.0,69.00240706071142
35-2015,29.760656504643666,1.8228079390982943,"Cooks, Short Order",138650,35880.0,27310.0,76.11482720178373
35-2021,21.639847526919286,2.0335541440008975,Food Preparation Workers,893600,35320.0,27870.0,78.90713476783692
35-3011,46.37786608673413,1.391568408024128,Bartenders,756390,34340.0,28850.0,84.01281304601048
35-3023,32.75176130137585,1.745184639977925,Fast Food and Counter Workers,3854050,31200.0,31990.0,102.53205128205128
35-3031,28.852613623353708,1.8463729055499873,Waiters and Waitresses,2270910,35230.0,27960.0,79.36417825716718
35-3041,35.488919378798855,1.6741516088331572,"Food Servers, Nonrestaurant",293900,35360.0,27830.0,78.70475113122171
35-9011,29.36541792188724,1.8330649260038454,Dining Room and Cafeteria Attendants and Bartender Helpers,542750,33980.0,29210.0,85.96233078281342
35-9021,16.097257965768897,2.1773919954451695,Dishwashers,477450,34810.0,28380.0,81.52829646653261
35-9031,29.87221956568077,1.819912723635724,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",432690,31200.0,31990.0,102.53205128205128
37-1011,57.65446245159176,1.0989251634125325,First-Line Supervisors of Housekeeping and Janitorial Workers,178760,49100.0,14090.0,28.69653767820774
37-1012,72.30264596293759,0.7187845773944532,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",130760,58430.0,4760.0,8.14650008557248
37-2011,38.11435001588117,1.6060180590208368,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2209760,36840.0,26350.0,71.52551574375678
37-2012,23.204464068291976,1.9929501845768292,Maids and Housekeeping Cleaners,860670,35510.0,27680.0,77.94987327513377
37-2021,57.78525381495001,1.0955309469573251,Pest Control Workers,102620,45250.0,17940.0,39.646408839779006
37-3011,34.42375494002321,1.701794096630239,Landscaping and Groundskeeping Workers,952640,39150.0,24040.0,61.40485312899106
37-3012,55.97996444670868,1.142380698521669,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",27050,46340.0,16850.0,36.361674579197235
37-3013,55.08335482085841,1.1656489562094683,Tree Trimmers and Pruners,55160,50960.0,12230.0,23.999215070643643
39-1013,51.359762906844765,1.2622813073258339,First-Line Supervisors of Gambling Services Workers,26010,63820.0,-630.0,-0.9871513632090254
39-1022,52.05007043888619,1.2443668738017273,First-Line Supervisors of Personal Service Workers,114110,48590.0,14600.0,30.047334842560197
39-2011,53.307318062742645,1.2117395621536688,Animal Trainers,18770,39990.0,23200.0,58.01450362590648
39-2021,42.41765608453467,1.4943413252138067,Animal Caretakers,266910,35360.0,27830.0,78.70475113122171
39-3011,28.495230633164613,1.855647487563392,Gambling Dealers,83910,34320.0,28870.0,84.12004662004662
39-3012,38.74369755882682,1.5896856213776922,Gambling and Sports Book Writers and Runners,8950,34980.0,28210.0,80.64608347627215
39-3021,42.92355772785046,1.4812124791006613,Motion Picture Projectionists,1480,38270.0,24920.0,65.11627906976744
39-3031,26.468750461892654,1.9082374458517124,"Ushers, Lobby Attendants, and Ticket Takers",121770,32910.0,30280.0,92.00850805226375
39-3091,31.429487225280496,1.7794994778398394,Amusement and Recreation Attendants,397830,32150.0,31040.0,96.54743390357699
39-3092,45.836894260335455,1.405607373807645,Costume Attendants,6510,50400.0,12790.0,25.376984126984127
39-3093,11.584512337103092,2.2945039749955902,"Locker Room, Coatroom, and Dressing Room Attendants",15560,36300.0,26890.0,74.0771349862259
39-4011,55.90672471907864,1.1442813705715187,Embalmers,3890,58780.0,4410.0,7.502551888397414
39-4021,32.929718963096676,1.7405663929604318,Funeral Attendants,31090,35680.0,27510.0,77.10201793721973
39-4031,58.13428760610873,1.0864730381860144,"Morticians, Undertakers, and Funeral Arrangers",25100,55010.0,8180.0,14.870023632066896
39-5011,32.384952293772294,1.754703840157191,Barbers,15000,38210.0,24980.0,65.37555613713687
39-5012,51.95408070718417,1.246857939866858,"Hairdressers, Hairstylists, and Cosmetologists",305710,35790.0,27400.0,76.55769768091646
39-5091,55.84682154915404,1.1458359405358993,"Makeup Artists, Theatrical and Performance",2340,97150.0,-33960.0,-34.95625321667524
39-5092,19.082918576045728,2.0999099804797896,Manicurists and Pedicurists,152770,35760.0,27430.0,76.70581655480984
39-5093,25.306611269079838,1.9383965624034853,Shampooers,8070,32600.0,30590.0,93.83435582822086
39-5094,44.63216925763235,1.4368716509218329,Skincare Specialists,72890,45330.0,17860.0,39.39995587910876
39-6011,45.74144967680376,1.4080842925251016,Baggage Porters and Bellhops,28510,37080.0,26110.0,70.41531823085221
39-6012,36.14922808245956,1.657015686323175,Concierges,49240,38950.0,24240.0,62.23363286264441
39-9011,43.0698573491529,1.4774158019404486,Childcare Workers,518910,34980.0,28210.0,80.64608347627215
39-9031,45.044311213870394,1.426175998136925,Exercise Trainers and Group Fitness Instructors,322930,47160.0,16030.0,33.99067005937235
39-9032,52.13326044610416,1.2422079782587956,Recreation Workers,331490,36560.0,26630.0,72.83916849015317
39-9041,47.327735975710716,1.3669179729748397,Residential Advisors,84760,42240.0,20950.0,49.597537878787875
41-1011,51.79259556320994,1.2510487023061756,First-Line Supervisors of Retail Sales Workers,1121800,48520.0,14670.0,30.234954657873043
41-1012,47.50572429868344,1.362298930255528,First-Line Supervisors of Non-Retail Sales Workers,214390,87520.0,-24330.0,-27.799360146252287
41-2011,26.349669107582287,1.9113277714047958,Cashiers,3089410,32880.0,30310.0,92.18369829683698
41-2012,45.29178143464267,1.4197538042400821,Gambling Change Persons and Booth Cashiers,21530,36220.0,26970.0,74.4616234124793
41-2021,44.98574060100654,1.4276959864057952,Counter and Rental Clerks,400810,41300.0,21890.0,53.002421307506054
41-2022,63.975707540898455,0.934880125968011,Parts Salespersons,270070,38630.0,24560.0,63.57753041677453
41-2031,40.92497602299575,1.5330784336676573,Retail Salespersons,3897860,35410.0,27780.0,78.45241457215477
41-3011,43.118188857587405,1.4761615325680586,Advertising Sales Agents,91700,64820.0,-1630.0,-2.5146559703795126
41-3021,34.45706780635048,1.7009295817559011,Insurance Sales Agents,479100,62280.0,910.0,1.4611432241490045
41-3031,37.31982433021437,1.6266370975194915,"Securities, Commodities, and Financial Services Sales Agents",489570,78660.0,-15470.0,-19.66692092550216
41-3041,33.29031447666285,1.7312084415300473,Travel Agents,55110,50160.0,13030.0,25.976874003189792
41-4011,45.5733043925399,1.4124478948002048,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",284800,104920.0,-41730.0,-39.77316050324056
41-4012,39.497574641694456,1.5701214702428479,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1238190,72080.0,-8890.0,-12.333518312985571
41-9011,41.93125926775668,1.5069639941491118,Demonstrators and Product Promoters,64520,39320.0,23870.0,60.707019328585965
41-9012,0.0,2.5951380642087063,Models,3780,48470.0,14720.0,30.369300598308232
41-9021,37.135961063890235,1.6314086031299664,Real Estate Brokers,46100,73220.0,-10030.0,-13.698443048347446
41-9022,52.711346771007264,1.2272058399972499,Real Estate Sales Agents,193370,52830.0,10360.0,19.610070035964416
41-9031,49.92454383568381,1.2995272237463145,Sales Engineers,51790,124900.0,-61710.0,-49.407526020816654
41-9041,17.711765230455267,2.135493302869879,Telemarketers,58430,35450.0,27740.0,78.25105782792666
41-9091,22.392321968517248,2.014026393343547,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2760,41380.0,21810.0,52.7066215563074
43-1011,48.573833033618754,1.3345800339080836,First-Line Supervisors of Office and Administrative Support Workers,1436680,69500.0,-6310.0,-9.079136690647482
43-2011,19.48350041662239,2.089514328656677,"Switchboard Operators, Including Answering Service",34280,38630.0,24560.0,63.57753041677453
43-2021,22.148511769291922,2.0203536046280663,Telephone Operators,3430,41740.0,21450.0,51.38955438428366
43-3011,30.596959230289855,1.801104728733035,Bill and Account Collectors,158830,47030.0,16160.0,34.36104614076122
43-3021,28.626322552183225,1.8522454712738383,Billing and Posting Clerks,404060,48500.0,14690.0,30.288659793814432
43-3031,33.86444232896187,1.7163090310978113,"Bookkeeping, Accounting, and Auditing Clerks",1373680,50670.0,12520.0,24.708900730215117
43-3041,41.35460883612948,1.521928868997693,Gambling Cage Workers,14430,37580.0,25610.0,68.14795103778606
43-3051,31.577250405313016,1.7756648193099303,Payroll and Timekeeping Clerks,153140,58260.0,4930.0,8.462066598008926
43-3061,34.079454748840675,1.7107291619467604,Procurement Clerks,55810,50580.0,12610.0,24.930802688809806
43-3071,45.992893074128546,1.4015589892111864,Tellers,329480,43030.0,20160.0,46.85103416221241
43-4011,29.990618410178392,1.8168401101545828,Brokerage Clerks,35940,65750.0,-2560.0,-3.893536121673004
43-4021,33.198915552195,1.7335803698091898,Correspondence Clerks,4290,46800.0,16390.0,35.02136752136752
43-4031,35.21959714097639,1.6811408927422666,"Court, Municipal, and License Clerks",179750,48700.0,14490.0,29.753593429158112
43-4041,28.283226007032713,1.8611493003140243,"Credit Authorizers, Checkers, and Clerks",12030,50080.0,13110.0,26.17811501597444
43-4051,40.05601044918804,1.5556292900384106,Customer Service Representatives,2595750,44770.0,18420.0,41.14362296180478
43-4061,33.555555294799156,1.7243250760967734,"Eligibility Interviewers, Government Programs",154800,54210.0,8980.0,16.565209370964766
43-4071,43.95046949435658,1.4545627009622228,File Clerks,73440,43600.0,19590.0,44.93119266055046
43-4081,43.3124123938975,1.471121163647623,"Hotel, Motel, and Resort Desk Clerks",261420,35070.0,28120.0,80.18249215854006
43-4111,39.08545884074422,1.5808164442619261,"Interviewers, Except Eligibility and Loan",148060,45920.0,17270.0,37.608885017421606
43-4121,39.725070252214564,1.5642176450598366,"Library Assistants, Clerical",85520,36910.0,26280.0,71.20021674342996
43-4131,38.10442988387661,1.606275500142507,Loan Interviewers and Clerks,164790,50020.0,13170.0,26.329468212714914
43-4141,29.826662643369218,1.8210949886675132,New Accounts Clerks,36860,47670.0,15520.0,32.55716383469687
43-4151,44.722688817737975,1.4345225433619775,Order Clerks,75200,46170.0,17020.0,36.86376434914447
43-4161,36.4854731060317,1.6482896637274471,"Human Resources Assistants, Except Payroll and Timekeeping",90220,50610.0,12580.0,24.856747678324442
43-4171,33.61550772335077,1.722769227803013,Receptionists and Information Clerks,910180,38010.0,25180.0,66.24572480926072
43-4181,43.987441014523775,1.4536032389694473,Reservation and Transportation Ticket Agents and Travel Clerks,118710,44390.0,18800.0,42.35188105429151
43-5011,54.500056415447304,1.1807863551562143,Cargo and Freight Agents,97670,52260.0,10930.0,20.91465748182166
43-5021,34.61888486205351,1.69673020574897,Couriers and Messengers,68640,39200.0,23990.0,61.19897959183673
43-5031,53.601571552185966,1.2041032778438627,Public Safety Telecommunicators,102500,53040.0,10150.0,19.136500754147814
43-5032,42.09779265080326,1.5026422229360556,"Dispatchers, Except Police, Fire, and Ambulance",202810,50340.0,12850.0,25.526420341676598
43-5041,49.65425160500977,1.3065416803091352,"Meter Readers, Utilities",19430,48150.0,15040.0,31.23572170301142
43-5051,45.13974978773816,1.4236992353785445,Postal Service Clerks,73720,62130.0,1060.0,1.7061001126669886
43-5052,24.72666962794492,1.9534468486827743,Postal Service Mail Carriers,328820,60550.0,2640.0,4.360033030553262
43-5053,31.643972451688406,1.7739332900872233,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",105200,58470.0,4720.0,8.072515820078673
43-5061,46.38795733806399,1.391306526119712,"Production, Planning, and Expediting Clerks",390160,59650.0,3540.0,5.934618608549874
43-5071,50.52586554615601,1.2839220951494996,"Shipping, Receiving, and Inventory Clerks",816870,45260.0,17930.0,39.6155545735749
43-5111,58.76280824096971,1.0701620599493307,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",53300,46380.0,16810.0,36.24407072013799
43-6011,43.47837910265717,1.4668140984146862,Executive Secretaries and Executive Administrative Assistants,459910,76590.0,-13400.0,-17.495756626191408
