rank,soc,title,readiness,employment,wage,wage_gain,wage_gain_pct
121,41-9011,Demonstrators and Product Promoters,41.93125926775668,64520,39320.0,23870.0,60.707019328585965
122,25-2011,"Preschool Teachers, Except Special Education",41.20297705236673,478780,38140.0,25050.0,65.6790770844258
123,41-2031,Retail Salespersons,40.92497602299575,3897860,35410.0,27780.0,78.45241457215477
124,53-3031,Driver/Sales Workers,40.848268315150214,409180,38770.0,24420.0,62.98684549909724
125,25-3021,Self-Enrichment Teachers,40.82971455025568,332110,46800.0,16390.0,35.02136752136752
126,51-3011,Bakers,40.66380589201659,236200,37160.0,26030.0,70.04843918191604
127,21-1023,Mental Health and Substance Abuse Social Workers,40.600296009632274,132810,60280.0,2910.0,4.827471798274718
128,43-9021,Data Entry Keyers,40.50505619111864,127080,41340.0,21850.0,52.85437832607644
129,21-2011,Clergy,40.48856143279818,57200,60810.0,2380.0,3.9138299621772736
130,25-9044,"Teaching Assistants, Postsecondary",40.355830492214906,164090,42910.0,20280.0,47.26171055697972
131,51-9198,Helpers--Production Workers,40.13169032040407,165700,39070.0,24120.0,61.73534681341182
132,43-4051,Customer Service Representatives,40.05601044918804,2595750,44770.0,18420.0,41.14362296180478
133,27-3091,Interpreters and Translators,40.04889117343162,52060,60170.0,3020.0,5.0191125145421305
134,21-1015,Rehabilitation Counselors,39.81114814946511,94740,46850.0,16340.0,34.87726787620064
135,43-4121,"Library Assistants, Clerical",39.725070252214564,85520,36910.0,26280.0,71.20021674342996
136,13-2081,"Tax Examiners and Collectors, and Revenue Agents",39.46078758356389,56610,62370.0,820.0,1.3147346480679813
137,53-3052,"Bus Drivers, Transit and Intercity",39.43348455686072,159240,59050.0,4140.0,7.0110076206604575
138,25-4031,Library Technicians,39.36192641880005,68690,44580.0,18610.0,41.74517720951099
139,43-4111,"Interviewers, Except Eligibility and Loan",39.08545884074422,148060,45920.0,17270.0,37.608885017421606
140,51-4121,"Welders, Cutters, Solderers, and Brazers",38.40314461657579,416210,53750.0,9440.0,17.56279069767442
141,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",38.11435001588117,2209760,36840.0,26350.0,71.52551574375678
142,43-4131,Loan Interviewers and Clerks,38.10442988387661,164790,50020.0,13170.0,26.329468212714914
143,31-9011,Massage Therapists,37.17172733301598,98790,58450.0,4740.0,8.109495295124038
144,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",36.4854731060317,90220,50610.0,12580.0,24.856747678324442
145,43-6012,Legal Secretaries and Administrative Assistants,35.82954335110582,156280,55570.0,7620.0,13.712434766960591
146,35-3041,"Food Servers, Nonrestaurant",35.488919378798855,293900,35360.0,27830.0,78.70475113122171
147,43-4031,"Court, Municipal, and License Clerks",35.21959714097639,179750,48700.0,14490.0,29.753593429158112
148,43-9061,"Office Clerks, General",35.213428554494406,2464940,45010.0,18180.0,40.391024216840705
149,13-2082,Tax Preparers,34.657442602921485,76480,54920.0,8270.0,15.058266569555718
150,43-5021,Couriers and Messengers,34.61888486205351,68640,39200.0,23990.0,61.19897959183673
151,41-3021,Insurance Sales Agents,34.45706780635048,479100,62280.0,910.0,1.4611432241490045
152,37-3011,Landscaping and Groundskeeping Workers,34.42375494002321,952640,39150.0,24040.0,61.40485312899106
153,53-7061,Cleaners of Vehicles and Equipment,34.38773727025365,380430,35830.0,27360.0,76.36059168294724
154,51-6011,Laundry and Dry-Cleaning Workers,34.100910302764156,198040,34890.0,28300.0,81.11206649469761
155,43-3061,Procurement Clerks,34.079454748840675,55810,50580.0,12610.0,24.930802688809806
156,43-6013,Medical Secretaries and Administrative Assistants,33.91692123592457,961610,45930.0,17260.0,37.57892445025038
157,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",33.86444232896187,1373680,50670.0,12520.0,24.708900730215117
158,25-3041,Tutors,33.73739203668159,175070,43350.0,19840.0,45.767012687427915
159,43-4171,Receptionists and Information Clerks,33.61550772335077,910180,38010.0,25180.0,66.24572480926072
160,43-4061,"Eligibility Interviewers, Government Programs",33.555555294799156,154800,54210.0,8980.0,16.565209370964766
161,41-3041,Travel Agents,33.29031447666285,55110,50160.0,13030.0,25.976874003189792
162,51-6031,Sewing Machine Operators,33.17761949542128,104880,36670.0,26520.0,72.32069811835288
163,23-2011,Paralegals and Legal Assistants,32.9558891234022,392880,62890.0,300.0,0.47702337414533313
164,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",32.94756541651249,1706790,47540.0,15650.0,32.919646613378205
165,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",32.94230042354507,55230,39280.0,23910.0,60.87067209775967
166,53-6021,Parking Attendants,32.821737967754636,137880,35150.0,28040.0,79.7724039829303
167,35-3023,Fast Food and Counter Workers,32.75176130137585,3854050,31200.0,31990.0,102.53205128205128
168,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",31.643972451688406,105200,58470.0,4720.0,8.072515820078673
169,43-3051,Payroll and Timekeeping Clerks,31.577250405313016,153140,58260.0,4930.0,8.462066598008926
170,39-3091,Amusement and Recreation Attendants,31.429487225280496,397830,32150.0,31040.0,96.54743390357699
171,53-7064,"Packers and Packagers, Hand",30.841262910923106,559820,36280.0,26910.0,74.17309812568908
172,43-3011,Bill and Account Collectors,30.596959230289855,158830,47030.0,16160.0,34.36104614076122
173,25-3031,"Substitute Teachers, Short-Term",30.39984987051241,524770,41670.0,21520.0,51.64386849052076
174,43-9041,Insurance Claims and Policy Processing Clerks,30.272419967178998,214260,49230.0,13960.0,28.35669307332927
175,27-2011,Actors,30.247478022901607,55000,60424.0,2766.0,4.577651264398252
176,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",29.87221956568077,432690,31200.0,31990.0,102.53205128205128
177,35-2015,"Cooks, Short Order",29.760656504643666,138650,35880.0,27310.0,76.11482720178373
178,35-2014,"Cooks, Restaurant",29.401820182885007,1409890,37390.0,25800.0,69.00240706071142
179,31-1132,Orderlies,29.378798965294216,52440,38290.0,24900.0,65.03003395142335
180,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,29.36541792188724,542750,33980.0,29210.0,85.96233078281342
181,35-3031,Waiters and Waitresses,28.852613623353708,2270910,35230.0,27960.0,79.36417825716718
182,43-3021,Billing and Posting Clerks,28.626322552183225,404060,48500.0,14690.0,30.288659793814432
183,39-3011,Gambling Dealers,28.495230633164613,83910,34320.0,28870.0,84.12004662004662
184,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",26.468750461892654,121770,32910.0,30280.0,92.00850805226375
185,41-2011,Cashiers,26.349669107582287,3089410,32880.0,30310.0,92.18369829683698
186,35-2011,"Cooks, Fast Food",26.26619172152894,641070,30890.0,32300.0,104.56458400776951
187,43-5052,Postal Service Mail Carriers,24.72666962794492,328820,60550.0,2640.0,4.360033030553262
188,37-2012,Maids and Housekeeping Cleaners,23.204464068291976,860670,35510.0,27680.0,77.94987327513377
189,53-7081,Refuse and Recyclable Material Collectors,23.13167906539284,147240,49690.0,13500.0,27.168444355001007
190,35-2021,Food Preparation Workers,21.639847526919286,893600,35320.0,27870.0,78.90713476783692
191,51-3023,Slaughterers and Meat Packers,21.506045087416826,69950,40130.0,23060.0,57.463244455519565
192,33-9091,Crossing Guards and Flaggers,20.910597143947683,94360,38100.0,25090.0,65.85301837270342
193,39-5092,Manicurists and Pedicurists,19.082918576045728,152770,35760.0,27430.0,76.70581655480984
194,41-9041,Telemarketers,17.711765230455267,58430,35450.0,27740.0,78.25105782792666
195,35-9021,Dishwashers,16.097257965768897,477450,34810.0,28380.0,81.52829646653261
